Vehicle Name,Small/Sporty/ Compact/Large Sedan,Sports Car,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cyl,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,AvgMPG
Audi A6 3.0 Quattro 4dr,1,0,0,0,0,0,1,0,39640,35992,1.6,4,110,18,25,3880,109,192,71,21.5
Audi A6 4.2 Quattro 4dr,1,0,0,0,0,0,1,0,49690,44936,1.6,4,115,17,24,4024,109,193,71,20.5
Audi A8 L Quattro 4dr,1,0,0,0,0,0,1,0,69190,64740,1.7,4,115,17,24,4399,121,204,75,20.5
Audi RS 6 4dr,0,1,0,0,0,0,0,0,84600,76417,1.7,4,115,15,22,4024,109,191,78,18.5
Audi S4 Avant Quattro,0,0,0,1,0,0,1,0,49090,44446,1.7,4,115,15,21,3936,104,179,70,18
Audi S4 Quattro 4dr,1,0,0,0,0,0,1,0,48040,43556,1.7,4,115,14,20,3825,104,179,70,17
Audi TT 1.8 convertible 2dr (coupe),0,1,0,0,0,0,0,0,35940,32512,1.8,4,115,20,28,3131,95,159,73,24
Audi TT 1.8 Quattro 2dr (convertible),0,1,0,0,0,0,1,0,37390,33891,1.8,4,117,20,28,2921,96,159,73,24
Audi TT 3.2 coupe 2dr (convertible),0,1,0,0,0,0,1,0,40590,36739,1.8,4,119,21,29,3351,96,159,73,25
BMW 325Ci 2dr,1,0,0,0,0,0,0,1,30795,28245,1.8,4,119,20,29,3197,107,177,69,24.5
BMW 325Ci convertible 2dr,1,0,0,0,0,0,0,1,37995,34800,1.8,4,120,19,27,3560,107,177,69,23
BMW 325i 4dr,1,0,0,0,0,0,0,1,28495,26155,1.8,4,120,20,29,3219,107,176,69,24.5
BMW 325xi 4dr,1,0,0,0,0,0,1,0,30245,27745,1.8,4,120,19,27,3461,107,176,69,23
BMW 325xi Sport,0,0,0,1,0,0,1,0,32845,30110,1.8,4,124,19,26,3594,107,176,69,22.5
BMW 330Ci 2dr,1,0,0,0,0,0,0,1,36995,33890,1.8,4,124,20,30,3285,107,176,69,25
BMW 330Ci convertible 2dr,1,0,0,0,0,0,0,1,44295,40530,1.8,4,124,19,28,3616,107,177,69,23.5
BMW 330i 4dr,1,0,0,0,0,0,0,1,35495,32525,1.8,4,126,20,30,3285,107,176,69,25
BMW 330xi 4dr,1,0,0,0,0,0,1,0,37245,34115,1.8,4,126,20,29,3483,107,176,69,24.5
BMW 525i 4dr,1,0,0,0,0,0,0,1,39995,36620,1.8,4,127,19,28,3428,114,191,73,23.5
BMW 530i 4dr,1,0,0,0,0,0,0,1,44995,41170,1.8,4,130,20,30,3472,114,191,73,25
BMW 545iA 4dr,1,0,0,0,0,0,0,1,54995,50270,1.8,4,130,18,26,3814,114,191,73,22
BMW 745i 4dr,1,0,0,0,0,0,0,1,69195,63190,1.8,4,130,18,26,4376,118,198,75,22
BMW 745Li 4dr,1,0,0,0,0,0,0,1,73195,66830,1.8,4,130,18,26,4464,123,204,75,22
BMW M3 convertible 2dr,0,1,0,0,0,0,0,1,56595,51815,1.8,4,130,16,23,3781,108,177,70,19.5
BMW M3 coupe 2dr,0,1,0,0,0,0,0,1,48195,44170,1.8,4,130,16,24,3415,108,177,70,20
BMW X3 3.0i,0,0,1,0,0,0,1,0,37000,33873,1.8,4,130,16,23,4023,110,180,73,19.5
BMW X5 4.4i,0,0,1,0,0,0,1,0,52195,47720,1.8,4,130,16,22,4824,111,184,74,19
BMW Z4 convertible 2.5i 2dr,0,1,0,0,0,0,0,1,33895,31065,1.8,4,130,20,28,2932,98,161,70,24
BMW Z4 convertible 3.0i 2dr,0,1,0,0,0,0,0,1,41045,37575,1.8,4,130,21,29,2998,98,161,70,25
Buick Century Custom 4dr,1,0,0,0,0,0,0,0,22180,20351,1.9,4,132,20,30,3353,109,195,73,25
Buick LeSabre Custom 4dr,1,0,0,0,0,0,0,0,26470,24282,1.9,4,132,20,29,3567,112,200,74,24.5
Buick LeSabre Limited 4dr,1,0,0,0,0,0,0,0,32245,29566,1.9,4,138,20,29,3591,112,200,74,24.5
Buick Park Avenue 4dr,1,0,0,0,0,0,0,0,35545,32244,2,4,138,20,29,3778,114,207,75,24.5
Buick Park Avenue Ultra 4dr,1,0,0,0,0,0,0,0,40720,36927,2,4,138,18,28,3909,114,207,75,23
Buick Rainier,0,0,1,0,0,0,1,0,37895,34357,2,4,138,15,21,4600,113,193,75,18
Buick Regal GS 4dr,1,0,0,0,0,0,0,0,28345,26047,2,4,138,18,28,3536,109,196,73,23
Buick Regal LS 4dr,1,0,0,0,0,0,0,0,24895,22835,2,4,140,20,30,3461,109,196,73,25
Buick Rendezvous CX,0,0,1,0,0,0,0,0,26545,24085,2,4,140,19,26,4024,112,187,74,22.5
Cadillac CTS VVT 4dr,1,0,0,0,0,0,0,1,30835,28575,2,4,140,18,25,3694,113,190,71,21.5
Cadillac Deville 4dr,1,0,0,0,0,0,0,0,45445,41650,2,4,140,18,26,3984,115,207,74,22
Cadillac Deville DTS 4dr,1,0,0,0,0,0,0,0,50595,46362,2,4,140,18,26,4044,115,207,74,22
Cadillac Escalade EXT,0,0,0,0,0,1,1,0,52975,48541,2,4,140,13,17,5879,130,0,0,15
Cadillac Escaladet,0,0,1,0,0,0,0,0,52795,48377,2,4,140,14,18,5367,116,199,79,16
Cadillac Seville SLS 4dr,1,0,0,0,0,0,0,0,47955,43841,2,4,140,18,26,3992,112,201,75,22
Cadillac SRX V8,0,0,1,0,0,0,0,0,46995,43523,2,4,140,16,21,4302,116,195,73,18.5
Cadillac XLR convertible 2dr,0,1,0,0,0,0,0,1,76200,70546,2,4,140,17,25,3647,106,178,72,21
Chevrolet Astro,0,0,0,0,1,0,1,0,26395,23954,2,4,140,14,17,4605,111,190,78,15.5
Chevrolet Avalanche 1500,0,0,0,0,0,1,1,0,36100,31689,2,4,140,14,18,5678,130,0,0,16
Chevrolet Aveo 4dr,1,0,0,0,0,0,0,0,11690,10965,2,4,142,28,34,2370,98,167,66,31
Chevrolet Aveo LS 4dr hatch,1,0,0,0,0,0,0,0,12585,11802,2,4,142,28,34,2348,98,153,66,31
Chevrolet Cavalier 2dr,1,0,0,0,0,0,0,0,14610,13697,2,4,142,26,37,2617,104,183,69,31.5
Chevrolet Cavalier 4dr,1,0,0,0,0,0,0,0,14810,13884,2,4,143,26,37,2676,104,183,68,31.5
Chevrolet Cavalier LS 2dr,1,0,0,0,0,0,0,0,16385,15357,2,4,143,26,37,2617,104,183,69,31.5
Chevrolet Colorado Z85,0,0,0,0,0,1,1,0,18760,17070,2,4,143,18,23,3623,111,0,0,20.5
Chevrolet Corvette 2dr,0,1,0,0,0,0,0,1,44535,39068,2,4,145,18,25,3246,105,180,74,21.5
Chevrolet Corvette convertible 2dr,0,1,0,0,0,0,0,1,51535,45193,2,4,148,18,25,3248,105,180,74,21.5
Chevrolet Impala 4dr,1,0,0,0,0,0,0,0,21900,20095,2,4,150,21,32,3465,111,200,73,26.5
Chevrolet Impala LS 4dr,1,0,0,0,0,0,0,0,25000,22931,2,4,150,20,30,3476,111,200,73,25
Chevrolet Impala SS 4dr,1,0,0,0,0,0,0,0,27995,25672,2,4,150,18,28,3606,111,200,73,23
Chevrolet Malibu 4dr,1,0,0,0,0,0,0,0,18995,17434,2,4,150,24,34,3174,106,188,70,29
Chevrolet Malibu LS 4dr,1,0,0,0,0,0,0,0,20370,18639,2,4,150,22,30,3297,106,188,70,26
Chevrolet Malibu LT 4dr,1,0,0,0,0,0,0,0,23495,21551,2,4,150,23,32,3315,106,188,70,27.5
Chevrolet Malibu Maxx LS,0,0,0,1,0,0,0,0,22225,20394,2.2,4,150,22,30,3458,112,188,70,26
Chevrolet Monte Carlo LS 2dr,1,0,0,0,0,0,0,0,21825,20026,2.2,4,150,21,32,3340,111,198,73,26.5
Chevrolet Monte Carlo SS 2dr,1,0,0,0,0,0,0,0,24225,22222,2.2,4,150,18,28,3434,111,198,73,23
Chevrolet Silverado 1500 Regular Cab,0,0,0,0,0,1,0,1,20310,18480,2.2,4,155,15,21,4142,119,0,0,18
Chevrolet Silverado SS,0,0,0,0,0,1,1,0,40340,35399,2.2,4,155,13,17,4804,144,0,0,15
Chevrolet SSR,0,0,0,0,0,1,0,1,41995,39306,2.2,4,155,16,19,4760,116,0,0,17.5
Chevrolet Suburban 1500 LT,0,0,1,0,0,0,0,0,42735,37422,2.2,4,155,14,18,4947,130,219,79,16
Chevrolet Tahoe LT,0,0,1,0,0,0,1,0,41465,36287,2.2,4,155,14,18,5050,116,197,79,16
Chevrolet Tracker,0,0,1,0,0,0,0,0,20255,19108,2.2,4,155,19,22,2866,98,163,67,20.5
Chevrolet TrailBlazer LT,0,0,1,0,0,0,0,0,30295,27479,2.2,4,155,16,21,4425,113,192,75,18.5
Chevrolet Venture LS,0,0,0,0,1,0,0,0,27020,24518,2.2,4,155,19,26,3699,112,187,72,22.5
Chrvsler PT Cruiser GT 4dr,1,0,0,0,0,0,0,0,25955,24172,2.2,4,157,21,27,3217,103,169,67,24
Chrysler 300M 4dr,1,0,0,0,0,0,0,0,29865,27797,2.2,4,157,18,27,3581,113,198,74,22.5
Chrysler 300M Special Edition 4dr,1,0,0,0,0,0,0,0,33295,30884,2.2,4,160,18,27,3650,113,198,74,22.5
Chrysler Concorde LX 4dr,1,0,0,0,0,0,0,0,24130,22452,2.2,4,160,21,29,3479,113,208,74,25
Chrysler Concorde LXi 4dr,1,0,0,0,0,0,0,0,26860,24909,2.3,4,160,19,27,3548,113,208,74,23
Chrysler Crossfire 2dr,0,1,0,0,0,0,0,1,34495,32033,2.3,4,160,17,25,3060,95,160,70,21
Chrysler Pacifica,0,0,0,1,0,0,0,1,31230,28725,2.3,4,160,17,23,4675,116,199,79,20
Chrysler PT Cruiser 4dr,1,0,0,0,0,0,0,0,17985,16919,2.3,4,160,22,29,3101,103,169,67,25.5
Chrysler PT Cruiser Limited 4dr,1,0,0,0,0,0,0,0,22000,20573,2.3,4,160,22,29,3105,103,169,67,25.5
Chrysler Sebring 4dr,1,0,0,0,0,0,0,0,19090,17805,2.3,4,160,22,30,3173,108,191,71,26
Chrysler Sebring convertible 2dr,1,0,0,0,0,0,0,0,25215,23451,2.3,4,160,22,30,3357,106,194,64,26
Chrysler Sebring Limited convertible 2dr,1,0,0,0,0,0,0,0,30950,28613,2.3,4,160,21,28,3448,106,194,69,24.5
Chrysler Sebring Touring 4dr,1,0,0,0,0,0,0,0,21840,20284,2.3,4,161,21,28,3222,108,191,71,24.5
Chrysler Town and Country Limited,0,0,0,0,1,0,0,0,38380,35063,2.3,4,163,18,25,4331,119,201,79,21.5
Chrysler Town and Country LX,0,0,0,0,1,0,0,0,27490,25371,2.3,4,165,19,26,4068,119,201,79,22.5
CMC Yukon 1500 SLE,0,0,1,0,0,0,0,0,35725,31361,2.3,4,165,16,19,5042,116,199,79,17.5
Dodge Caravan SE,0,0,0,0,1,0,0,0,21795,20508,2.3,4,165,20,26,3862,113,189,79,23
Dodge Dakota Club Cab,0,0,0,0,0,1,0,1,20300,18670,2.4,4,165,16,22,3829,131,0,0,19
Dodge Dakota Regular Cab,0,0,0,0,0,1,0,1,17630,16264,2.4,4,165,16,22,3714,112,0,0,19
Dodge Durango SLT,0,0,1,0,0,0,1,0,32235,29472,2.4,4,165,15,21,4987,119,201,76,18
Dodge Grand Caravan SXT,0,0,0,0,1,0,1,0,32660,29812,2.4,4,165,18,25,4440,119,201,79,21.5
Dodge Intrepid ES 4dr,1,0,0,0,0,0,0,0,24885,23058,2.4,4,165,18,27,3487,113,204,75,22.5
Dodge Intrepid SE 4dr,1,0,0,0,0,0,0,0,22035,20502,2.4,4,165,21,29,3469,113,204,75,25
Dodge Neon SE 4dr,1,0,0,0,0,0,0,0,13670,12849,2.4,4,165,29,36,2581,105,174,67,32.5
Dodge Neon SXT 4dr,1,0,0,0,0,0,0,0,15040,14086,2.4,4,168,29,36,2626,105,174,67,32.5
Dodge Ram 1500 Regular Cab ST,0,0,0,0,0,1,0,1,20215,18076,2.4,4,168,16,21,4542,121,0,0,18.5
Dodge Stratus SE 4dr,1,0,0,0,0,0,0,0,20220,18821,2.4,4,168,21,28,3175,108,191,71,24.5
Dodge Stratus SXT 4dr,1,0,0,0,0,0,0,0,18820,17512,2.4,4,170,21,28,3182,108,191,71,24.5
Dodge Viper SRT-10 convertible 2dr,0,1,0,0,0,0,0,1,81795,74451,2.4,4,170,0,0,3410,99,176,75,0
Ford Crown Victoria 4dr,1,0,0,0,0,0,0,1,24345,22856,2.4,4,170,17,25,4057,115,212,78,21
Ford Crown Victoria LX 4dr,1,0,0,0,0,0,0,1,27370,25105,2.4,4,170,17,25,4057,115,212,78,21
Ford Crown Victoria LX Sport 4dr,1,0,0,0,0,0,0,1,30315,27756,2.4,4,170,17,25,4057,115,212,78,21
Ford Escape XLS,0,0,1,0,0,0,1,0,22515,20907,2.4,4,170,18,23,3346,103,173,70,20.5
Ford Excursion 6.8 XLT,0,0,1,0,0,0,1,0,41475,36494,2.4,4,170,0,0,7190,137,227,80,0
Ford Expedition 4.6 XLT,0,0,1,0,0,0,0,0,34560,30468,2.4,4,170,15,19,5000,119,206,79,17
Ford Explorer XLT V6,0,0,1,0,0,0,1,0,29670,26983,2.4,4,170,15,20,4463,114,190,72,17.5
Ford F-150 Regular Cab XL,0,0,0,0,0,1,0,1,22010,19490,2.4,4,170,15,19,4788,126,0,0,17
Ford F-150 Supercab Lariat,0,0,0,0,0,1,1,0,33540,29405,2.4,4,170,14,18,5464,133,0,0,16
Ford Focus LX 4dr,1,0,0,0,0,0,0,0,13730,12906,2.4,4,172,27,36,2606,103,168,67,31.5
Ford Focus SE 4dr,1,0,0,0,0,0,0,0,15460,14496,2.4,4,173,26,33,2606,103,168,67,29.5
Ford Focus SVT 2dr,1,0,0,0,0,0,0,0,19135,17878,2.5,4,174,21,28,2750,103,168,67,24.5
Ford Focus ZTW,0,0,0,1,0,0,0,0,17475,16375,2.5,4,175,26,33,2702,103,178,67,29.5
Ford Focus ZX3 2dr hatch,1,0,0,0,0,0,0,0,13270,12482,2.5,4,175,26,33,2612,103,168,67,29.5
Ford Focus ZX5 5dr,1,0,0,0,0,0,0,0,15580,14607,2.5,4,175,26,33,2691,103,168,67,29.5
Ford Freestar SE,0,0,0,0,1,0,0,0,26930,24498,2.5,4,175,17,23,4275,121,201,77,20
Ford Mustang 2dr (convertible),0,1,0,0,0,0,0,1,18345,16943,2.5,4,175,20,29,3290,101,183,73,24.5
Ford Mustang GT Premium convertible 2dr,0,1,0,0,0,0,0,1,29380,26875,2.5,4,180,17,25,3347,101,183,73,21
Ford Ranger 2.3 XL Regular Cab,0,0,0,0,0,1,0,1,14385,13717,2.5,4,180,24,29,3028,111,0,0,26.5
Ford Taurus LX 4dr,1,0,0,0,0,0,0,0,20320,18881,2.5,4,180,20,27,3306,109,198,73,23.5
Ford Taurus SE,0,0,0,1,0,0,0,0,22290,20457,2.5,5,180,19,26,3497,109,198,73,22.5
Ford Taurus SES Duratec 4dr,1,0,0,0,0,0,0,0,22735,20857,2.5,5,180,19,26,3313,109,198,73,22.5
Ford Thunderbird Deluxe convert w/hardtop 2dr,0,1,0,0,0,0,0,0,37530,34483,2.5,5,180,17,24,3780,107,186,72,20.5
GMC Canyon Z85 SL Regular Cab,0,0,0,0,0,1,0,1,16530,14877,2.5,5,180,19,24,3351,111,0,0,21.5
GMC Envoy XUV SLE,0,0,1,0,0,0,0,0,31890,28922,2.5,5,180,15,19,4945,129,208,75,17
GMC Safari SLE,0,0,0,0,1,0,0,1,25640,23215,2.5,5,182,16,20,4309,111,190,78,18
GMC Sierra Extended Cab 1500,0,0,0,0,0,1,0,1,25717,22604,2.5,5,184,17,20,4548,144,0,0,18.5
GMC Sierra HD 2500,0,0,0,0,0,1,1,0,29322,25759,2.5,6,184,0,0,5440,133,0,0,0
GMC Sonoma Crew Cab,0,0,0,0,0,1,1,0,25395,23043,2.5,6,184,15,19,4083,123,0,0,17
GMC Yukon XL 2500 SLT,0,0,1,0,0,0,1,0,46265,40534,2.5,6,184,13,17,6133,130,219,79,15
Honda Accord EX 2dr,1,0,0,0,0,0,0,0,22260,20080,2.5,6,184,26,34,3047,105,188,71,30
Honda Accord EX V6 2dr,1,0,0,0,0,0,0,0,26960,24304,2.5,6,184,21,30,3294,105,188,71,25.5
Honda Accord LX 2dr,1,0,0,0,0,0,0,0,19860,17924,2.5,6,184,26,34,2994,105,188,71,30
Honda Accord LX V6 4dr,1,0,0,0,0,0,0,0,23760,21428,2.5,6,185,21,30,3349,108,190,72,25.5
Honda Civic DX 2dr,1,0,0,0,0,0,0,0,13270,12175,2.5,6,185,32,38,2432,103,175,67,35
Honda Civic EX 4dr,1,0,0,0,0,0,0,0,17750,16265,2.5,6,185,32,37,2601,103,175,68,34.5
Honda Civic HX 2dr,1,0,0,0,0,0,0,0,14170,12996,2.5,6,185,36,44,2500,103,175,67,40
Honda Civic Hybrid 4dr manual (gas/electric),1,0,0,0,0,0,0,0,20140,18451,2.6,6,185,46,51,2732,103,175,68,48.5
Honda Civic LX 4dr,1,0,0,0,0,0,0,0,15850,14531,2.6,6,185,32,38,2513,103,175,68,35
Honda Civic Si 2dr hatch,1,0,0,0,0,0,0,0,19490,17849,2.6,6,185,26,30,2782,101,166,67,28
Honda CR-V LX,0,0,1,0,0,0,1,0,19860,18419,2.7,6,189,21,25,3258,103,179,70,23
Honda Element LX,0,0,1,0,0,0,1,0,18690,17334,2.7,6,190,21,24,3468,101,167,72,22.5
Honda Insight 2dr (gas/electric),1,0,0,0,0,0,0,0,19110,17911,2.7,6,190,60,66,1850,95,155,67,63
Honda Odyssey EX,0,0,0,0,1,0,0,0,27450,24744,2.7,6,190,18,25,4365,118,201,76,21.5
Honda Odyssey LX,0,0,0,0,1,0,0,0,24950,22498,2.7,6,190,18,25,4310,118,201,76,21.5
Honda Pilot LX,0,0,1,0,0,0,1,0,27560,24843,2.7,6,190,17,22,4387,106,188,77,19.5
Honda S2000 convertible 2dr,0,1,0,0,0,0,0,1,33260,29965,2.7,6,190,20,25,2835,95,162,69,22.5
Hummer H2,0,0,1,0,0,0,1,0,49995,45815,2.7,6,190,10,12,6400,123,190,81,11
Hyundai Accent 2dr hatch,1,0,0,0,0,0,0,0,10539,10107,2.7,6,192,29,33,2255,96,167,66,31
Hyundai Accent GL 4dr,1,0,0,0,0,0,0,0,11839,11116,2.7,6,192,29,33,2290,96,167,66,31
Hyundai Accent GT 2dr hatch,1,0,0,0,0,0,0,0,11939,11209,2.7,6,192,29,33,2339,96,167,66,31
Hyundai Elantra GLS 4dr,1,0,0,0,0,0,0,0,13839,12781,2.7,6,193,26,34,2635,103,178,68,30
Hyundai Elantra GT 4dr,1,0,0,0,0,0,0,0,15389,14207,2.8,6,193,26,34,2635,103,178,68,30
Hyundai Elantra GT 4dr hatch,1,0,0,0,0,0,0,0,15389,14207,2.8,6,193,26,34,2698,103,178,68,30
Hyundai Santa Fe GLS,0,0,1,0,0,0,0,0,21589,20201,2.8,6,194,20,26,3549,103,177,73,23
Hyundai Sonata GLS 4dr,1,0,0,0,0,0,0,0,19339,17574,2.8,6,194,19,27,3217,106,187,72,23
Hyundai Sonata LX 4dr,1,0,0,0,0,0,0,0,20339,18380,2.9,6,194,19,27,3217,106,187,72,23
Hyundai Tiburon GT V6 2dr,0,1,0,0,0,0,0,0,18739,17101,2.9,6,195,19,26,3023,100,173,69,22.5
Hyundai XG350 4dr,1,0,0,0,0,0,0,0,24589,22055,2.9,6,195,17,26,3651,108,192,72,21.5
Hyundai XG350 L 4dr,1,0,0,0,0,0,0,0,26189,23486,3,6,195,17,26,3651,108,192,72,21.5
Infiniti FX35,0,0,0,1,0,0,0,1,34895,31756,3,6,197,16,22,4056,112,189,76,19
Infiniti FX45,0,0,0,1,0,0,1,0,36395,33121,3,6,197,15,19,4309,112,189,76,17
Infiniti G35 4dr,1,0,0,0,0,0,0,1,28495,26157,3,6,200,18,26,3336,112,187,69,22
Infiniti G35 4dr,1,0,0,0,0,0,1,0,32445,29783,3,6,200,18,26,3677,112,187,69,22
Infiniti G35 Sport Coupe 2dr,1,0,0,0,0,0,0,1,29795,27536,3,6,200,18,26,3416,112,182,72,22
Infiniti I35 4dr,1,0,0,0,0,0,0,0,31145,28320,3,6,200,19,26,3306,108,194,70,22.5
Infiniti M45 4dr,1,0,0,0,0,0,0,1,42845,38792,3,6,200,17,23,3851,110,197,70,20
Infiniti Q45 Luxury 4dr,1,0,0,0,0,0,0,1,52545,47575,3,6,200,17,23,3977,113,200,73,20
Isuzu Ascender S,0,0,1,0,0,0,1,0,31849,29977,3,6,200,15,20,4967,129,208,76,17.5
Isuzu Rodeo S,0,0,1,0,0,0,0,0,20449,19261,3,6,200,17,21,3836,106,178,70,19
Jaguar S-Type 3.0 4dr,1,0,0,0,0,0,0,1,43895,40004,3,6,200,18,26,3777,115,192,72,22
Jaguar S-Type 4.2 4dr,1,0,0,0,0,0,0,1,49995,45556,3,6,200,18,28,3874,115,192,72,23
Jaguar S-Type R 4dr,1,0,0,0,0,0,0,1,63120,57499,3,6,200,17,24,4046,115,192,72,20.5
Jaguar Vanden Plas 4dr,1,0,0,0,0,0,0,1,68995,62846,3,6,200,18,28,3803,119,200,73,23
Jaguar XJ8 4dr,1,0,0,0,0,0,0,1,59995,54656,3,6,200,18,28,3803,119,200,73,23
Jaguar XJR 4dr,1,0,0,0,0,0,0,1,74995,68306,3,6,200,17,24,3948,119,200,73,20.5
Jaguar XK8 convertible 2dr,0,1,0,0,0,0,0,1,74995,68306,3,6,200,18,26,3980,102,187,71,22
Jaguar XK8 coupe 2dr,0,1,0,0,0,0,0,1,69995,63756,3,6,200,18,26,3779,102,187,71,22
Jaguar XKR convertible 2dr,0,1,0,0,0,0,0,1,86995,79226,3,6,200,16,23,4042,102,187,71,19.5
Jaguar XKR coupe 2dr,0,1,0,0,0,0,0,1,81995,74676,3,6,201,16,23,3865,102,187,71,19.5
Jaguar X-Type 2.5 4dr,1,0,0,0,0,0,1,0,29995,27355,3,6,201,18,26,3428,107,184,70,22
Jaguar X-Type 3.0 4dr,1,0,0,0,0,0,1,0,33995,30995,3,6,201,18,25,3516,107,184,70,21.5
Jeep Grand Cherokee Laredo,0,0,1,0,0,0,0,0,27905,25686,3,6,201,16,21,3790,106,181,72,18.5
Jeep Liberty Sport,0,0,1,0,0,0,1,0,20130,18973,3,6,205,20,24,3826,104,174,72,22
Jeep Wrangler Sahara convertible 2dr,0,0,1,0,0,0,1,0,25520,23275,3,6,205,16,19,3575,93,150,67,17.5
Kia Amanti 4dr,1,0,0,0,0,0,0,0,26000,23764,3,6,205,17,25,0,110,196,73,21
Kia Optima LX 4dr,1,0,0,0,0,0,0,0,16040,14910,3,6,205,23,30,3281,106,186,72,26.5
Kia Optima LX V6 4dr,1,0,0,0,0,0,0,0,18435,16850,3,6,207,20,27,3279,106,186,72,23.5
Kia Rio 4dr auto,1,0,0,0,0,0,0,0,11155,10705,3,6,208,25,32,2458,95,167,66,28.5
Kia Rio 4dr manual,1,0,0,0,0,0,0,0,10280,9875,3,6,208,26,33,2403,95,167,66,29.5
Kia Rio Cinco,0,0,0,1,0,0,0,0,11905,11410,3,6,208,26,33,2447,95,167,66,29.5
Kia Sedona LX,0,0,0,0,1,0,0,0,20615,19400,3,6,210,16,22,4802,115,194,75,19
Kia Sorento LX,0,0,1,0,0,0,0,0,19635,18630,3,6,210,16,19,4112,107,180,73,17.5
Kia Spectra 4dr,1,0,0,0,0,0,0,0,12360,11630,3,6,210,24,32,2661,101,178,68,28
Kia Spectra GS 4dr hatch,1,0,0,0,0,0,0,0,13580,12830,3,6,210,24,32,2686,101,178,68,28
Kia Spectra GSX 4dr hatch,1,0,0,0,0,0,0,0,14630,13790,3,6,210,24,32,2697,101,178,68,28
Land Rover Discovery SE,0,0,1,0,0,0,1,0,39250,35777,3,6,210,12,16,4576,100,185,74,14
Land Rover Freelander SE,0,0,1,0,0,0,1,0,25995,23969,3,6,210,18,21,3577,101,175,71,19.5
Land Rover Range Rover HSE,0,0,1,0,0,0,1,0,72250,65807,3,6,210,12,16,5379,113,195,76,14
Lexus ES 330 4dr,1,0,0,0,0,0,0,0,32350,28755,3,6,210,20,29,3460,107,191,71,24.5
Lexus GS 300 4dr,1,0,0,0,0,0,0,1,41010,36196,3,6,210,18,25,3649,110,189,71,21.5
Lexus GS 430 4dr,1,0,0,0,0,0,0,1,48450,42232,3.1,6,210,18,23,3715,110,189,71,20.5
Lexus GX 470,0,0,1,0,0,0,1,0,45700,39838,3.2,6,210,15,19,4740,110,188,74,17
Lexus IS 300 4dr auto,1,0,0,0,0,0,0,1,32415,28611,3.2,6,210,18,24,3285,105,177,68,21
Lexus IS 300 4dr manual,1,0,0,0,0,0,0,1,31045,27404,3.2,6,210,18,25,3255,105,177,68,21.5
Lexus IS 300 SportCross,0,0,0,1,0,0,0,1,32455,28647,3.2,6,212,18,24,3410,105,177,68,21
Lexus LS 430 4dr,1,0,0,0,0,0,0,1,55750,48583,3.2,6,212,18,25,3990,115,197,72,21.5
Lexus LX 470,0,0,1,0,0,0,1,0,64800,56455,3.2,6,215,13,17,5590,112,193,76,15
Lexus RX 330,0,0,1,0,0,0,1,0,39195,34576,3.2,6,215,18,24,4065,107,186,73,21
